	rumor_id	evidence_id	rumor_text	evidence_text	s1	s2	stance	rumor_label
0	1473241193765036034	1473253268293918734	سيارات الأمم المتحده تقوم بإخلاء السفاره التونسية ونقل السفير وموظفي السفاره الى مكان آمن https://t.co/Uiev2Yw9Hs	"⚠️خبر كاذب!⚠️
لا يوجد مقر لبعثة الأمم المتحدة للدعم في ليبيا في عين زارا. 
كما أن الأمم المتحدة لم تخلي أي مقر لها في ليبيا... 
⚠️احذروا الأخبار الكاذبة والملفقة⚠️ https://t.co/FNGbhen04s"	سيارات الأمم المتحده تقوم بإخلاء السفاره التونسية ونقل السفير وموظفي السفاره الى مكان آمن	خبر كاذب لا يوجد مقر لبعثة الأمم المتحدة للدعم في ليبيا في عين زارا كما أن الأمم المتحدة لم تخلي أي مقر لها في ليبيا احذروا الأخبار الكاذبة والملفقة	disagree	False
1	1473241193765036034	1473310622108499980	سيارات الأمم المتحده تقوم بإخلاء السفاره التونسية ونقل السفير وموظفي السفاره الى مكان آمن https://t.co/Uiev2Yw9Hs	"تعرب بعثة الأمم المتحدة للدعم في ليبيا عن قلقها إزاء التطورات الأمنية الجارية في طرابلس. تخلق هذه التحركات للقوات التابعة لمجموعات مختلفة حالة من التوتر، وتعزز خطر الصدامات التي قد تتحول إلى صراع. 
👇👇👇
https://t.co/rIoI4UPhnv https://t.co/bs2UuAjGOW"	سيارات الأمم المتحده تقوم بإخلاء السفاره التونسية ونقل السفير وموظفي السفاره الى مكان آمن	تعرب بعثة الأمم المتحدة للدعم في ليبيا عن قلقها إزاء التطورات الأمنية الجارية في طرابلس تخلق هذه التحركات للقوات التابعة لمجموعات مختلفة حالة من التوتر وتعزز خطر الصدامات التي قد تتحول إلى صراع	other	False
2	1434605766313455621	1433336182579081221	"# عاجل 
الانتربول الدولي 
القبض على هشام عبدالله الممثل الهارب  في إنتظار ترحيلة الي  مصـــــر 
عقبال الباقي"	"اين يجد الشاب العربي 
السعادة والامان والحرية فى العالم العربي🙈
اعتقد المكان الوحيده اللى هيلاقوا فيه الحاجات دى ياسارة هو القبر 
فالاسهل نسال متي يجد الشاب العربي
السعاده والامان والحرية؟
حين يتوقف الغرب عن دعم الديكتاتوريه
والاستبداد ف بلادنا العربية https://t.co/MUVEM8pVkJ"	عاجل الانتربول الدولي القبض على هشام عبدالله الممثل الهارب في إنتظار ترحيلة الي مصر عقبال الباقي	اين يجد الشاب العربي السعادة والامان والحرية فى العالم العربي اعتقد المكان الوحيده اللى هيلاقوا فيه الحاجات دى ياسارة هو القبر فالاسهل نسال متي يجد الشاب العربي السعاده والامان والحرية حين يتوقف الغرب عن دعم الديكتاتوريه والاستبداد ف بلادنا العربية	other	False
3	914575665311207425	934013771273592833	تجديد جواز السفر في اليابان يحتاج فقط إلى دقيقتين! https://t.co/PfA57GuNn0	"#خرافات_عن_اليابان
هذا الفيديو واسع الانتشار عن تجديد الباسبور في ٣ دقائق في اليابان قمنا بالبحث فيه، ولم نجد له علاقة باليابان ! تجديد الباسبور يستغرق ٦ أيام عمل في اليابان، هذا الفيديو في الغالب في سنغافورة ! في أول كومنت الفيديو كامل وصورة للباسبور الياباني السنغافوري. https://t.co/1iXWLMPemG"	تجديد جواز السفر في اليابان يحتاج فقط إلى دقيقتين	خرافات عن اليابان هذا الفيديو واسع الانتشار عن تجديد الباسبور في ٣ دقائق في اليابان قمنا بالبحث فيه ولم نجد له علاقة باليابان تجديد الباسبور يستغرق ٦ أيام عمل في اليابان هذا الفيديو في الغالب في سنغافورة في أول كومنت الفيديو كامل وصورة للباسبور الياباني السنغافوري	disagree	False
4	914575665311207425	1575624025325248512	تجديد جواز السفر في اليابان يحتاج فقط إلى دقيقتين! https://t.co/PfA57GuNn0	القطار الأسرع والمزيد مما لا تعرفه عن قطار ”الطلقة“ فخر التكنولوجيا #اليابانية! https://t.co/u30hgfYMmZ	تجديد جواز السفر في اليابان يحتاج فقط إلى دقيقتين	القطار الأسرع والمزيد مما لا تعرفه عن قطار الطلقة فخر التكنولوجيا اليابانية	other	False
5	914575665311207425	1575637695556042752	تجديد جواز السفر في اليابان يحتاج فقط إلى دقيقتين! https://t.co/PfA57GuNn0	المشرعون #اليابانيون يتحركون لوضع قواعد محددة بشأن الجنازات الرسمية https://t.co/QqwtWZgXs4	تجديد جواز السفر في اليابان يحتاج فقط إلى دقيقتين	المشرعون اليابانيون يتحركون لوضع قواعد محددة بشأن الجنازات الرسمية	other	False
6	1533894106027532290	1533522824211701760	"الااااااا رسول الله 
السعودية تطرد السفير الهندي . https://t.co/k49mfkRXLx"	#بيان | تعرب وزارة الخارجية عن شجبها واستنكارها للتصريحات الصادرة عن المتحدثة باسم حزب بهاراتيا جانات الهندي، من إساءة للنبي محمد عليه الصلاة والسلام https://t.co/qFakDeqNOL	الااااااا رسول الله السعودية تطرد السفير الهندي	بيان تعرب وزارة الخارجية عن شجبها واستنكارها للتصريحات الصادرة عن المتحدثة باسم حزب بهاراتيا جانات الهندي من إساءة للنبي محمد عليه الصلاة والسلام	disagree	False
7	1533894106027532290	1533483638641283074	"الااااااا رسول الله 
السعودية تطرد السفير الهندي . https://t.co/k49mfkRXLx"	📹 | نائب وزير الخارجية @W_Elkhereiji : لقد قامت المملكة ومنذ تأسيسها باعتبارها دولة محورية على مرتكزات أساسية من أهمها، المساهمة في تحقيق الأمن والسلم الدوليين، والسعي إلى حل النزاعات بالطرق السلمية https://t.co/ob0hoPbgfa	الااااااا رسول الله السعودية تطرد السفير الهندي	نائب وزير الخارجية لقد قامت المملكة ومنذ تأسيسها باعتبارها دولة محورية على مرتكزات أساسية من أهمها المساهمة في تحقيق الأمن والسلم الدوليين والسعي إلى حل النزاعات بالطرق السلمية	other	False
8	1533894106027532290	1533410630098735104	"الااااااا رسول الله 
السعودية تطرد السفير الهندي . https://t.co/k49mfkRXLx"	#الخارجية_اليوم | وكيل الوزارة لشؤون المراسم السفير #خالد_السحلي يستقبل سفير جمهورية #أذربيجان لدى المملكة السيد شاهين عبداللايف، ويستعرضان العلاقات الدبلوماسية بين البلدين، وما يعززها في المجالات ذات الاهتمام المشترك https://t.co/YJUBYWQNnd	الااااااا رسول الله السعودية تطرد السفير الهندي	الخارجية اليوم وكيل الوزارة لشؤون المراسم السفير خالد السحلي يستقبل سفير جمهورية أذربيجان لدى المملكة السيد شاهين عبداللايف ويستعرضان العلاقات الدبلوماسية بين البلدين وما يعززها في المجالات ذات الاهتمام المشترك	other	False
9	1507243028553027600	1507273950497280000	"إنا لله وان اليه راجعون
الكابتن جمال الغندور، الحكم الدولي السابق ورئيس لجنة الحكام السابق، في ذمة الله 😔
#رياضة https://t.co/1QxhlacTIj"	نجل #جمال_الغندور ينفي خبر وفاة والده:  لا صحة لما كتب عنه وحسبي الله ونعم الوكيل🔴 https://t.co/QgbSkZYTYL	إنا لله وان اليه راجعون الكابتن جمال الغندور الحكم الدولي السابق ورئيس لجنة الحكام السابق في ذمة الله رياضة	نجل جمال الغندور ينفي خبر وفاة والده لا صحة لما كتب عنه وحسبي الله ونعم الوكيل	disagree	False
